Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
A0A0H5SAX0_BRUMA: Predicted CORRECT, probability : 0.0837
A0A0T6BAB5_9SCAR: Predicted CORRECT, probability : 0.1838
A0A0N0P3E7_LEPSE: Predicted ERROR, probability : 0.8169
BBS2_HUMAN: Predicted CORRECT, probability : 0.1475
K3WPT3_PYTUL: Predicted CORRECT, probability : 0.3039
A0A0G4IMV6_PLABS: Predicted CORRECT, probability : 0.4119
S9UWW3_9TRYP: Predicted CORRECT, probability : 0.4136
MKS1_RAT: Predicted CORRECT, probability : 0.2387
A3QK09_DANRE: Predicted CORRECT, probability : 0.2289
F4W6Z2_ACREC: Predicted ERROR, probability : 0.6574
A0A0N4TRG0_BRUPA: Predicted ERROR, probability : 0.8165
A0A158NBF3_ATTCE: Predicted ERROR, probability : 0.6087
G7P681_MACFA: Predicted CORRECT, probability : 0.2166
F6YUF2_XENTR: Predicted ERROR, probability : 0.8550
H2RV16_TAKRU: Predicted CORRECT, probability : 0.2909
J9I0G0_9SPIT: Predicted CORRECT, probability : 0.2185
I3NC55_ICTTR: Predicted CORRECT, probability : 0.2802
A4HP97_LEIBR: Predicted CORRECT, probability : 0.4376
I3NHG2_ICTTR: Predicted CORRECT, probability : 0.2774
U6PLC9_HAECO: Predicted ERROR, probability : 0.8201
B4I7P4_DROSE: Predicted CORRECT, probability : 0.4355
G5BMR9_HETGA: Predicted CORRECT, probability : 0.1144
A0A067BK52_SAPPC: Predicted ERROR, probability : 0.9753
B4KRF7_DROMO: Predicted CORRECT, probability : 0.4393
G6DD95_DANPL: Predicted ERROR, probability : 0.7675
K7FH00_PELSI: Predicted CORRECT, probability : 0.1498
F6Q0A8_MACMU: Predicted ERROR, probability : 0.8601
L5JXA8_PTEAL: Predicted CORRECT, probability : 0.3101
A0BPN5_PARTE: Predicted ERROR, probability : 0.8910
F4W6I5_ACREC: Predicted CORRECT, probability : 0.3033
S7MWE6_MYOBR: Predicted CORRECT, probability : 0.4591
W4H8Z6_9STRA: Predicted ERROR, probability : 0.5711
E2RG29_CANLF: Predicted ERROR, probability : 0.5230
J0XI15_LOALO: Predicted CORRECT, probability : 0.1732
I3K8F9_ORENI: Predicted CORRECT, probability : 0.4734
G1ME56_AILME: Predicted CORRECT, probability : 0.1608
A0A0D9QVJ6_CHLSB: Predicted CORRECT, probability : 0.3109
F4WXK5_ACREC: Predicted ERROR, probability : 0.8833
B7PXZ3_IXOSC: Predicted CORRECT, probability : 0.1825
F1SP83_PIG: Predicted CORRECT, probability : 0.3507
G3W269_SARHA: Predicted CORRECT, probability : 0.4396
A9UW13_MONBE: Predicted ERROR, probability : 0.5213
A4HN90_LEIBR: Predicted ERROR, probability : 0.6114
D2VRJ0_NAEGR: Predicted ERROR, probability : 0.9298
Q4QEM9_LEIMA: Predicted CORRECT, probability : 0.2286
F6R3H8_XENTR: Predicted ERROR, probability : 0.9253
IFT74_CHLRE: Predicted ERROR, probability : 0.8956
F6RDQ7_CIOIN: Predicted CORRECT, probability : 0.3384
B0X734_CULQU: Predicted ERROR, probability : 0.6102
E1BN34_BOVIN: Predicted CORRECT, probability : 0.3141
Q5RA46_PONAB: Predicted CORRECT, probability : 0.4607
F6Z5Q1_HORSE: Predicted CORRECT, probability : 0.1701
M4AKC5_XIPMA: Predicted ERROR, probability : 0.8021
F2UQ70_SALR5: Predicted CORRECT, probability : 0.4460
W5QCF0_SHEEP: Predicted ERROR, probability : 0.9620
W5J3B6_ANODA: Predicted CORRECT, probability : 0.4497
Q4E2P4_TRYCC: Predicted ERROR, probability : 0.8827
A0A158NUR8_ATTCE: Predicted CORRECT, probability : 0.4138
A0A0N0VDQ8_9TRYP: Predicted ERROR, probability : 0.6879
W2Y705_PHYPR: Predicted ERROR, probability : 0.6430
W4Z211_STRPU: Predicted CORRECT, probability : 0.4262
H3FMD9_PRIPA: Predicted ERROR, probability : 0.8876
K7FZ59_PELSI: Predicted CORRECT, probability : 0.1855
D0MZ16_PHYIT: Predicted CORRECT, probability : 0.3960
G3QXK4_GORGO: Predicted CORRECT, probability : 0.3580
E3LQY5_CAERE: Predicted ERROR, probability : 0.7696
M3XBP0_FELCA: Predicted ERROR, probability : 0.5227
G1SYN3_RABIT: Predicted CORRECT, probability : 0.4131
A0A151NV80_ALLMI: Predicted ERROR, probability : 0.8484
A0A026WS77_CERBI: Predicted ERROR, probability : 0.7038
B3MUH4_DROAN: Predicted ERROR, probability : 0.7166
H2MJA1_ORYLA: Predicted CORRECT, probability : 0.2461
M3ZHU5_XIPMA: Predicted ERROR, probability : 0.8828
W5NHG3_LEPOC: Predicted CORRECT, probability : 0.4085
J9IRB0_9SPIT: Predicted ERROR, probability : 0.5668
W5L7N4_ASTMX: Predicted ERROR, probability : 0.5906
A0A0D9RBM3_CHLSB: Predicted CORRECT, probability : 0.4834
G3SW34_LOXAF: Predicted CORRECT, probability : 0.4446
G1RV53_NOMLE: Predicted CORRECT, probability : 0.2235
A0A0L7R2D7_9HYME: Predicted CORRECT, probability : 0.3651
H2ZZ55_LATCH: Predicted CORRECT, probability : 0.1807
H0WVV6_OTOGA: Predicted CORRECT, probability : 0.4362
G1LIU7_AILME: Predicted CORRECT, probability : 0.3253
A0A177WZH4_BATDE: Predicted CORRECT, probability : 0.2759
W5N2B1_LEPOC: Predicted CORRECT, probability : 0.4383
H2RYV3_TAKRU: Predicted ERROR, probability : 0.7653
Q7PUL7_ANOGA: Predicted CORRECT, probability : 0.4610
A4HX34_LEIIN: Predicted CORRECT, probability : 0.2203
Q18106_CAEEL: Predicted ERROR, probability : 0.9928
V9EXZ9_PHYPR: Predicted CORRECT, probability : 0.3636
G0MY08_CAEBE: Predicted ERROR, probability : 0.9974
Q4E4D8_TRYCC: Predicted CORRECT, probability : 0.3708
T0RDB9_9STRA: Predicted ERROR, probability : 0.5657
A0A0R3U3T9_9CEST: Predicted ERROR, probability : 0.9642
H3CYE9_TETNG: Predicted ERROR, probability : 0.7876
F6W3B7_ORNAN: Predicted CORRECT, probability : 0.4286
R1DSD8_EMIHU: Predicted ERROR, probability : 0.5755
A0A0M9FXC3_9TRYP: Predicted CORRECT, probability : 0.2653
W4FD55_9STRA: Predicted CORRECT, probability : 0.3321
G3T822_LOXAF: Predicted CORRECT, probability : 0.2601
W4Z8E6_STRPU: Predicted CORRECT, probability : 0.3416
V3Z105_LOTGI: Predicted CORRECT, probability : 0.3584
G3WH06_SARHA: Predicted CORRECT, probability : 0.4121
Q29J74_DROPS: Predicted ERROR, probability : 0.5393
A7RY88_NEMVE: Predicted ERROR, probability : 0.6071
G1SIY1_RABIT: Predicted CORRECT, probability : 0.1828
PTHB1_MOUSE: Predicted CORRECT, probability : 0.1358
G1S2T2_NOMLE: Predicted CORRECT, probability : 0.4950
A0A091CIL2_FUKDA: Predicted ERROR, probability : 0.5461
A0A087X8G3_POEFO: Predicted ERROR, probability : 0.7202
K7J1K7_NASVI: Predicted CORRECT, probability : 0.3992
A0A0N5D5E3_THECL: Predicted CORRECT, probability : 0.4294
BBS1_CAEEL: Predicted CORRECT, probability : 0.3940
G3T3V8_LOXAF: Predicted CORRECT, probability : 0.1785
IFT74_HUMAN: Predicted CORRECT, probability : 0.4734
U1P0V6_ASCSU: Predicted ERROR, probability : 0.6697
A0A183BQH1_GLOPA: Predicted ERROR, probability : 0.6793
T1JH94_STRMM: Predicted CORRECT, probability : 0.4273
B4MMM3_DROWI: Predicted CORRECT, probability : 0.4400
B2RZ48_RAT: Predicted CORRECT, probability : 0.4140
G7PRK5_MACFA: Predicted CORRECT, probability : 0.4078
F7DYZ6_XENTR: Predicted CORRECT, probability : 0.2856
A0A151NHU6_ALLMI: Predicted CORRECT, probability : 0.3846
ARL6_CAEBR: Predicted CORRECT, probability : 0.1950
H0XFB0_OTOGA: Predicted CORRECT, probability : 0.3198
C1MPM0_MICPC: Predicted ERROR, probability : 0.7828
V5B167_TRYCR: Predicted CORRECT, probability : 0.2268
A0A026W4W1_CERBI: Predicted ERROR, probability : 0.5700
I3NAS8_ICTTR: Predicted CORRECT, probability : 0.4719
BBS7_CAEEL: Predicted CORRECT, probability : 0.2089
G3W4X1_SARHA: Predicted ERROR, probability : 0.7516
E0W305_PEDHC: Predicted CORRECT, probability : 0.4840
A4IBV8_LEIIN: Predicted ERROR, probability : 0.6309
B4LNW6_DROVI: Predicted CORRECT, probability : 0.1231
I3MEE1_ICTTR: Predicted CORRECT, probability : 0.0939
B4QXT1_DROSI: Predicted ERROR, probability : 0.8659
G3W852_SARHA: Predicted CORRECT, probability : 0.1588
B7XJ53_ENTBH: Predicted CORRECT, probability : 0.4723
G4YHC7_PHYSP: Predicted CORRECT, probability : 0.4158
D8TQE3_VOLCA: Predicted ERROR, probability : 0.6295
G3PLE4_GASAC: Predicted ERROR, probability : 0.8814
G0MCB1_CAEBE: Predicted CORRECT, probability : 0.2740
D8TIQ4_VOLCA: Predicted ERROR, probability : 0.7041
I1G762_AMPQE: Predicted CORRECT, probability : 0.4234
A0A0B2W1E4_TOXCA: Predicted ERROR, probability : 0.5651
V8P7R8_OPHHA: Predicted CORRECT, probability : 0.2314
W4FJ10_9STRA: Predicted ERROR, probability : 0.5817
F6YBY1_CALJA: Predicted CORRECT, probability : 0.2795
IFT74_MOUSE: Predicted ERROR, probability : 0.5176
W2Q7F5_PHYPN: Predicted ERROR, probability : 0.8132
Q4D758_TRYCC: Predicted ERROR, probability : 0.5174
A0A024TR25_9STRA: Predicted CORRECT, probability : 0.3601
E2RKK7_CANLF: Predicted CORRECT, probability : 0.4804
A0A0N4ZXF1_PARTI: Predicted CORRECT, probability : 0.1419
D0MY10_PHYIT: Predicted CORRECT, probability : 0.3778
G3SKE1_GORGO: Predicted ERROR, probability : 0.8465
F6VLT6_CALJA: Predicted CORRECT, probability : 0.4082
F6SNQ4_MONDO: Predicted CORRECT, probability : 0.4608
Q2M0T4_DROPS: Predicted ERROR, probability : 0.5390
H3G905_PHYRM: Predicted ERROR, probability : 0.8626
Q4E5P7_TRYCC: Predicted ERROR, probability : 0.8814
A0A087XEK6_POEFO: Predicted CORRECT, probability : 0.4628
A0A059F571_9MICR: Predicted ERROR, probability : 0.9311
A0A087XEB7_POEFO: Predicted CORRECT, probability : 0.2193
A0A0L7R9T5_9HYME: Predicted ERROR, probability : 0.8887
L5JQ97_PTEAL: Predicted CORRECT, probability : 0.4988
A0A0W8CFM7_PHYNI: Predicted ERROR, probability : 0.5130
U6NN38_HAECO: Predicted ERROR, probability : 0.8567
H2ZWW4_LATCH: Predicted CORRECT, probability : 0.3448
F6UB70_HORSE: Predicted CORRECT, probability : 0.4816
I3LF23_PIG: Predicted ERROR, probability : 0.8959
A0A0N5CNT2_THECL: Predicted ERROR, probability : 0.9937
U3JJ66_FICAL: Predicted CORRECT, probability : 0.0865
A0A067CAA2_SAPPC: Predicted CORRECT, probability : 0.2066
F4W7N6_ACREC: Predicted ERROR, probability : 0.7423
M3WA02_FELCA: Predicted CORRECT, probability : 0.1439
H9JBL6_BOMMO: Predicted ERROR, probability : 0.7604
W5K9G7_ASTMX: Predicted CORRECT, probability : 0.4802
H0VTI3_CAVPO: Predicted CORRECT, probability : 0.4007
G3RBR0_GORGO: Predicted CORRECT, probability : 0.2810
F6RFR4_HORSE: Predicted CORRECT, probability : 0.2666
A0A0L7LAS6_9NEOP: Predicted ERROR, probability : 0.6497
BBS12_PONAB: Predicted CORRECT, probability : 0.2071
G6CNQ9_DANPL: Predicted ERROR, probability : 0.6803
W2ZMB5_PHYPR: Predicted CORRECT, probability : 0.3717
D2A2G0_TRICA: Predicted CORRECT, probability : 0.3283
W2YQ45_PHYPR: Predicted CORRECT, probability : 0.3607
A0A0N1PCK5_LEPSE: Predicted ERROR, probability : 0.6273
M3Z5I9_MUSPF: Predicted CORRECT, probability : 0.2420
BBS4_MOUSE: Predicted CORRECT, probability : 0.1813
I1FWR2_AMPQE: Predicted CORRECT, probability : 0.3266
B4H6Z9_DROPE: Predicted CORRECT, probability : 0.4652
K7FIS9_PELSI: Predicted CORRECT, probability : 0.2736
F6UN54_ORNAN: Predicted ERROR, probability : 0.7354
A0A087YHA2_POEFO: Predicted CORRECT, probability : 0.2131
D6WZ82_TRICA: Predicted CORRECT, probability : 0.3032
H0V971_CAVPO: Predicted CORRECT, probability : 0.2309
G5AKE4_HETGA: Predicted CORRECT, probability : 0.2435
Q66H90_RAT: Predicted CORRECT, probability : 0.1903
A0A096N6U1_PAPAN: Predicted CORRECT, probability : 0.4280
F4WJT4_ACREC: Predicted ERROR, probability : 0.5761
A0A096MTK8_PAPAN: Predicted CORRECT, probability : 0.1626
D0MSD3_PHYIT: Predicted CORRECT, probability : 0.3395
C3YD63_BRAFL: Predicted CORRECT, probability : 0.2738
B4GEV6_DROPE: Predicted ERROR, probability : 0.7809
A0A091D8J3_FUKDA: Predicted CORRECT, probability : 0.4178
A0A067R4F6_ZOONE: Predicted ERROR, probability : 0.5162
A8XUK4_CAEBR: Predicted ERROR, probability : 0.9942
A0A151WGN6_9HYME: Predicted ERROR, probability : 0.6350
F9WIP7_TRYCI: Predicted ERROR, probability : 0.7224
BBIP1_HUMAN: Predicted ERROR, probability : 0.7601
G1RX78_NOMLE: Predicted CORRECT, probability : 0.4350
A0A0L7QVB9_9HYME: Predicted CORRECT, probability : 0.3706
A0A067QHW0_ZOONE: Predicted ERROR, probability : 0.8403
G3PWM5_GASAC: Predicted CORRECT, probability : 0.2467
A0A024GPP5_9STRA: Predicted CORRECT, probability : 0.2241
Q0VCP5_BOVIN: Predicted CORRECT, probability : 0.4161
A0A0N5D3Y0_THECL: Predicted ERROR, probability : 0.6491
A0A183T176_SCHSO: Predicted ERROR, probability : 0.9460
E0VD41_PEDHC: Predicted CORRECT, probability : 0.1390
M7BQW0_CHEMY: Predicted CORRECT, probability : 0.3628
T0QVK2_9STRA: Predicted ERROR, probability : 0.9354
C3XU54_BRAFL: Predicted CORRECT, probability : 0.1838
E2RTL3_CANLF: Predicted ERROR, probability : 0.5144
W6KMB3_9TRYP: Predicted ERROR, probability : 0.6198
A0A0L0S0V9_ALLMA: Predicted ERROR, probability : 0.8209
A4H8R6_LEIBR: Predicted CORRECT, probability : 0.2636
E2R1C7_CANLF: Predicted CORRECT, probability : 0.1755
CH037_MOUSE: Predicted ERROR, probability : 0.5346
A0A0Q3TTZ7_AMAAE: Predicted CORRECT, probability : 0.1955
B3MEQ1_DROAN: Predicted ERROR, probability : 0.5614
A0A0N4VMZ0_ENTVE: Predicted ERROR, probability : 0.7048
A0A044U0L5_ONCVO: Predicted CORRECT, probability : 0.4588
G1P887_MYOLU: Predicted ERROR, probability : 0.8474
G0MEG7_CAEBE: Predicted CORRECT, probability : 0.1892
A0A0R3RK88_9BILA: Predicted ERROR, probability : 0.8676
E2RER8_CANLF: Predicted CORRECT, probability : 0.2965
F7G484_MACMU: Predicted ERROR, probability : 0.6083
C1N7X7_MICPC: Predicted ERROR, probability : 0.5469
H2MLD9_ORYLA: Predicted CORRECT, probability : 0.3656
MKKS_HUMAN: Predicted CORRECT, probability : 0.2162
G7NWL4_MACFA: Predicted CORRECT, probability : 0.2993
W2Z794_PHYPR: Predicted ERROR, probability : 0.6045
G1P9Y3_MYOLU: Predicted CORRECT, probability : 0.4336
V3ZY76_LOTGI: Predicted CORRECT, probability : 0.3145
A0A044VD16_ONCVO: Predicted CORRECT, probability : 0.2665
A0A183CD97_GLOPA: Predicted ERROR, probability : 0.7015
I3MMH3_ICTTR: Predicted ERROR, probability : 0.5647
L5JSZ4_PTEAL: Predicted CORRECT, probability : 0.2430
L9L6L8_TUPCH: Predicted CORRECT, probability : 0.4088
U6G3P0_9EIME: Predicted CORRECT, probability : 0.4369
K7GGB8_PELSI: Predicted CORRECT, probability : 0.1851
A0A0K0F464_9BILA: Predicted CORRECT, probability : 0.1960
V5DCK5_TRYCR: Predicted CORRECT, probability : 0.3436
G3T4E0_LOXAF: Predicted CORRECT, probability : 0.4345
A0A0L0CC86_LUCCU: Predicted CORRECT, probability : 0.2508
H3DHP5_TETNG: Predicted ERROR, probability : 0.5838
A0A0F8AFE6_LARCR: Predicted CORRECT, probability : 0.4448
F6QP01_XENTR: Predicted ERROR, probability : 0.6830
J9P3I0_CANLF: Predicted ERROR, probability : 0.9467
V5BJR9_TRYCR: Predicted ERROR, probability : 0.8674
A0A158PWS5_BRUMA: Predicted ERROR, probability : 0.8399
F6XCD9_CANLF: Predicted CORRECT, probability : 0.0943
W5PWU8_SHEEP: Predicted CORRECT, probability : 0.1809
B4MW67_DROWI: Predicted CORRECT, probability : 0.4551
F7AYF5_MONDO: Predicted ERROR, probability : 0.7400
H2UZ92_TAKRU: Predicted CORRECT, probability : 0.2952
Q4CTU0_TRYCC: Predicted CORRECT, probability : 0.2555
F0YFS0_AURAN: Predicted ERROR, probability : 0.6991
Q4DW95_TRYCC: Predicted CORRECT, probability : 0.4011
A0A0K0E8D2_STRER: Predicted CORRECT, probability : 0.0908
A0A0Q9W9F9_DROVI: Predicted CORRECT, probability : 0.4318
A4HKB1_LEIBR: Predicted CORRECT, probability : 0.3740
W4Y9Z5_STRPU: Predicted ERROR, probability : 0.6250
D2VIC7_NAEGR: Predicted ERROR, probability : 0.7208
G1SYD7_RABIT: Predicted CORRECT, probability : 0.2530
C3YFQ9_BRAFL: Predicted ERROR, probability : 0.5271
F7B2E3_MACMU: Predicted ERROR, probability : 0.9053
A0A154PRL9_9HYME: Predicted ERROR, probability : 0.6369
A0A139WED1_TRICA: Predicted CORRECT, probability : 0.1905
D8UGH5_VOLCA: Predicted ERROR, probability : 0.6395
H2QUE8_PANTR: Predicted CORRECT, probability : 0.1280
A0A0M0LPT4_9EUKA: Predicted ERROR, probability : 0.5130
D0NMI9_PHYIT: Predicted ERROR, probability : 0.6508
Q5XI30_RAT: Predicted CORRECT, probability : 0.3209
H3DN21_TETNG: Predicted ERROR, probability : 0.5511
Q57UH8_TRYB2: Predicted CORRECT, probability : 0.3797
W6U9G9_ECHGR: Predicted ERROR, probability : 0.9475
A0A0G4ITJ7_PLABS: Predicted ERROR, probability : 0.6539
A0A0N0P3G2_LEPSE: Predicted CORRECT, probability : 0.4721
G1KIJ0_ANOCA: Predicted CORRECT, probability : 0.1640
