AC	ENSEMBL
A0A8I5ZNK2	ENSRNOT00000099478
A0A8I6G705	ENSRNOT00000144605
A0A8I6GM68	ENSRNOT00000116471
A0A8M1NHK4	ENSDART00000135552
A0A8M2BID5	ENSDART00000148460
A0A8M9PFP2	ENSDART00000155935
A0A8M9PQ61	ENSDART00000111078
A0A8P0N4K0	ENSCAFT00000002152
A0A8V0ZB02	ENSGALT00010047411
A0A8V1ABE9	ENSGALT00010062686
A0AAA9T569	ENSBTAT00000117491
A0AAQ4VMX2	ENSMUST00000160679
A0AAS4	ENSSSCT00000037988
A0AV02	ENST00000393469
A0AV96	ENST00000295971
A0AVF1	ENST00000464848
A0AVI4	ENST00000382936
A0AVK6	ENST00000250024
A0AVT1	ENST00000322244
A0FGR9	ENST00000389567
A0FIN4	ENSSSCT00000015600
A0JMQ9	ENSDART00000092113
A0JN54	ENSBTAT00000038186
A0JN74	ENSBTAT00090046963
A0JNB0	ENSBTAT00000015730
A0JNC1	ENSBTAT00000007970
A0JNC4	ENSBTAT00000069161
A0JNH9	ENSBTAT00000044615
A0JNK3	ENSBTAT00000128719
A0JNM1	ENSBTAT00000004864
A0JNT9	ENSMUST00000055408
A0JNU3	ENSMUST00000079400
A0JNW5	ENST00000279907
A0JP26	ENST00000611217
A0JPN2	ENSRNOT00000040422
A0JPN4	ENSRNOT00000012314
A0JPQ4	ENSRNOT00000029994
A0M8R6	ENSPANT00000023926
A0M8S1	ENSPANT00000067785
A0M8S7	ENSFCAT00000046169
A0M8S8	ENSFCAT00000085048
A0M8T2	ENSFCAT00000045560
A0MQH0	ENSCGRT00000017131
A0MZ66	ENST00000355371
A0PJK1	ENST00000395645
A0PJY2	ENST00000442488
A0PK00	ENST00000342607
A0PK05	ENST00000389583
A0PK11	ENST00000511148
A0SYQ0	ENSCAFT00000044497
A0T2N3	ENSDART00000129643
A1A4J1	ENSBTAT00000056305
A1A4K5	ENSBTAT00000076817
A1A4L1	ENSBTAT00085039436
A1A4S6	ENST00000336498
A1A4Y4	ENST00000522154
A1A519	ENST00000695508
A1A546	ENSMUST00000034034
A1A547	ENSMUST00000047660
A1A5B4	ENST00000332826
A1A5C7	ENST00000406686
A1A5H8	ENSDART00000027090
A1A5Q5	ENSRNOT00000033932
A1A5R1	ENSRNOT00055045959
A1BPI0	ENSRNOT00000028303
A1C2U6	ENSMMUT00000020075
A1E959	ENST00000396094
A1E960	ENSMUST00000113274
A1KXE4	ENST00000389915
A1KZ92	ENST00000356297
A1L0T0	ENST00000263383
A1L167	ENST00000399816
A1L190	ENST00000402753
A1L1K8	ENSRNOT00000025801
A1L1L6	ENSRNOT00000137581
A1L1V4	ENSDART00000064701
A1L259	ENSDART00000105917
A1L293	ENSDART00000074458
A1L390	ENST00000247226
A1L3C1	ENSMUST00000107927
A1L3P4	ENSMUST00000077741
A1L3X0	ENST00000425382
A1L4H1	ENST00000389623
A1L4K1	ENST00000334574
A1X149	ENSETET00000011935
A1X283	ENST00000311601
A1XBS5	ENST00000518322
A1XSY8	ENSSSCT00015000019
A1Y2K1	ENSSSCT00000004885
A1Y9I9	ENSMUST00000106969
A1YB07	ENSDART00000088914
A1YER0	ENSGGOT00000001397
A1YF08	ENSGGOT00000002582
A1YFZ3	ENSPPAT00000054561
A1YG32	ENSPPAT00000038007
A1Z198	ENSMUST00000108514
A1Z1Q3	ENST00000217246
A2A259	ENSMUST00000042026
A2A288	ENST00000409806
A2A2Y4	ENST00000304195
A2A432	ENSMUST00000050083
A2A5K6	ENSMUST00000041361
A2A5N3	ENSMUST00000067715
A2A5N8	ENSMUST00000035751
A2A5R2	ENSMUST00000099078
A2A5Z6	ENSMUST00000092517
A2A6C4	ENSMUST00000107000
A2A6M5	ENSMUST00000068686
A2A6Q5	ENSMUST00000093923
A2A7Q9	ENSMUST00000030584
A2A825	ENSMUST00000097813
A2A863	ENSMUST00000106458
A2A884	ENSMUST00000106307
A2A891	ENSMUST00000049790
A2A8L1	ENSMUST00000005175
A2A8L5	ENSMUST00000049074
A2A8U2	ENSMUST00000105687
A2A935	ENSMUST00000030902
A2A974	ENSMUST00000094887
A2A9A2	ENSMUST00000061187
A2A9C3	ENSMUST00000075406
A2A9F4	ENSMUST00000042919
A2AA28	ENSMUST00000106370
A2AAE1	ENSMUST00000057272
A2AAJ9	ENSMUST00000238536
A2AAY5	ENSMUST00000038753
A2ABV5	ENSMUST00000096495
A2AC93	ENSMUST00000069325
A2AD83	ENSMUST00000060650
A2AF47	ENSMUST00000033419
A2AG06	ENSMUST00000100378
A2AG50	ENSMUST00000112471
A2AGH6	ENSMUST00000087948
A2AGL3	ENSMUST00000080673
A2AGX3	ENSMUST00000111274
A2AH22	ENSMUST00000045705
A2AHC3	ENSMUST00000183461
A2AHL1	ENSMUST00000099623
A2AI05	ENSMUST00000114349
A2AI08	ENSMUST00000114336
A2AIP0	ENSMUST00000107929
A2AIR5	ENSMUST00000093859
A2AIV2	ENSMUST00000059914
A2AIV8	ENSMUST00000028294
A2AIW0	ENSMUST00000114102
A2AJ15	ENSMUST00000042390
A2AJ76	ENSMUST00000113532
A2AJ77	ENSMUST00000113470
A2AJ88	ENSMUST00000045295
A2AJB7	ENSMUST00000028306
A2AJI0	ENSMUST00000061143
A2AJK6	ENSMUST00000039267
A2AJN7	ENSMUST00000099362
A2AJX4	ENSMUST00000146205
A2AKK5	ENSMUST00000095086
A2AKX3	ENSMUST00000061578
A2AL36	ENSMUST00000028237
A2ALU4	ENSMUST00000062317
A2ALV5	ENSMUST00000107547
A2AM05	ENSMUST00000047023
A2AM29	ENSMUST00000078090
A2AMM0	ENSMUST00000030033
A2AMT1	ENSMUST00000099296
A2AN08	ENSMUST00000097822
A2ANU3	ENSMUST00000109934
A2AP18	ENSMUST00000105631
A2APB8	ENSMUST00000028969
A2APC3	ENSMUST00000099197
A2APF3	ENSMUST00000094287
A2APX8	ENSMUST00000112366
A2AQ07	ENSMUST00000016399
A2AQ19	ENSMUST00000028767
A2AQ25	ENSMUST00000066509
A2AQ92	ENSMUST00000099461
A2AR95	ENSMUST00000058790
A2ARA8	ENSMUST00000028106
A2ARI4	ENSMUST00000046548
A2ARP1	ENSMUST00000052029
A2ARV4	ENSMUST00000080953
A2AS55	ENSMUST00000056108
A2AS89	ENSMUST00000038161
A2ASI5	ENSMUST00000100069
A2ASQ1	ENSMUST00000105575
A2ASZ8	ENSMUST00000113307
A2AT37	ENSMUST00000060092
A2AU37	ENSMUST00000180195
A2AU72	ENSMUST00000114640
A2AUC9	ENSMUST00000100050
A2AUM9	ENSMUST00000089776
A2AUU0	ENSMUST00000121586
A2AVA0	ENSMUST00000042850
A2AVZ9	ENSMUST00000090726
A2AWL7	ENSMUST00000046717
A2AWP0	ENSMUST00000108875
A2AWR3	ENSMUST00000076463
A2AX52	ENSMUST00000121963
A2BD05	ENSSSCT00000058361
A2BDX3	ENSMUST00000099071
A2BE28	ENSMUST00000113864
A2BGM5	ENSDART00000008994
A2BH40	ENSMUST00000105897
A2BIE7	ENSDART00000086867
A2CEH0	ENSDART00000004771
A2CEI6	ENSDART00000090695
A2CEQ0	ENSDART00000043010
A2CG49	ENSMUST00000076810
A2CG63	ENSMUST00000110534
A2D670	ENSMMUT00000000124
A2IDD5	ENST00000293889
A2PYH4	ENST00000370425
A2PYL6	ENSECAT00000129718
A2RRP1	ENST00000281513
A2RRU4	ENSRNOT00000028295
A2RST1	ENSMUST00000099106
A2RSY1	ENSMUST00000186470
A2RT67	ENSMUST00000043414
A2RTF1	ENSMUST00000055156
A2RTX5	ENST00000335968
A2RU14	ENST00000279968
A2RU30	ENST00000316577
A2RU49	ENST00000388988
A2RUB1	ENST00000409122
A2RUB6	ENST00000394672
A2RUC4	ENST00000354611
A2RUH7	ENST00000357155
A2RUV9	ENSRNOT00055051257
A2RUW1	ENSRNOT00000046344
A2SW69	ENSOART00000022687
A2SWM2	ENSDART00000153909
A2T6K4	ENSMNET00000016068
A2T6Y4	ENSPTRT00000011181
A2T756	ENSPTRT00000010560
A2VCW5	ENSRNOT00055038402
A2VD12	ENSRNOT00000028057
A2VDJ0	ENST00000409663
A2VDK6	ENSBTAT00000024447
A2VDL4	ENSBTAT00090060909
A2VDL6	ENSBTAT00000049161
A2VDN5	ENSBTAT00000046919
A2VDP1	ENSBTAT00000012521
A2VDT1	ENSBTAT00000064455
A2VDU2	ENSBTAT00000013577
A2VDV2	ENSBTAT00000015663
A2VDZ3	ENSBTAT00000014074
A2VDZ4	ENSBTAT00000055868
A2VE31	ENSBTAT00000014749
A2VE79	ENSBTAT00000026239
A3FBE9	ENSMPUT00000013705
A3FIN4	ENSMUST00000107942
A3KCL7	ENSSSCT00000004864
A3KFM7	ENSMUST00000039782
A3KFX0	ENSMUST00000068262
A3KG59	ENSMUST00000098181
A3KGF7	ENSMUST00000102524
A3KGS3	ENSMUST00000131824
A3KGV1	ENSMUST00000113765
A3KMH1	ENST00000379310
A3KN83	ENST00000420886
A3KNL5	ENSDART00000087242
A3KPA3	ENSDART00000086994
A3KPP3	ENSDART00000166050
A3KPQ7	ENSDART00000133217
A3KPW9	ENSDART00000088760
A3KQ86	ENSDART00000091094
A3KQH2	ENSDART00000175259
A3QJU3	ENSDART00000172195
A3RGC1	ENSSSCT00000032274
A4D0S4	ENST00000205386
A4D126	ENST00000407010
A4D161	ENST00000344962
A4D1B5	ENST00000257626
A4D1E9	ENST00000222511
A4D1P6	ENST00000354475
A4D1S5	ENST00000356407
A4D1T9	ENST00000350549
A4D256	ENST00000650262
A4D2B0	ENST00000398075
A4D7S0	ENSBTAT00000010650
A4FUF0	ENSBTAT00000002268
A4FV08	ENSBTAT00000126000
A4FV52	ENSBTAT00000009255
A4FV54	ENSBTAT00000021408
A4GG66	ENSRNOT00000093570
A4GTP4	ENSRNOT00000013522
A4GXA9	ENST00000568449
A4IFJ5	ENSBTAT00000017685
A4IG62	ENSDART00000189730
A4IGM9	ENSXETT00000019956
A4IHP4	ENSXETT00000017945
A4IIM3	ENSXETT00000062393
A4IIN5	ENSXETT00000020367
A4K2Q5	ENSOGAT00000006659
A4KWA1	ENSRNOT00000111200
A4L691	ENSRNOT00000016027
A4PES0	ENSSSCT00025041339
A4Q9E5	ENSMUST00000032414
A4Q9E8	ENSMUST00000167258
A4Q9F1	ENSMUST00000109371
A4Q9F4	ENSMUST00000028248
A4QPC6	ENSMUST00000110432
A4UGR9	ENST00000628543
A4UUI3	ENSMUST00000100962
A4V8B4	ENSRNOT00000007314
A5A3E0	ENST00000409914
A5A4K9	ENSOCUT00000007339
A5A4L1	ENSMPUT00000017307
A5A6H8	ENSPTRT00000010775
A5A6I6	ENSPTRT00000028781
A5A6J1	ENSPTRT00000009064
A5A6J8	ENSPTRT00000002998
A5A6L1	ENSPTRT00000001732
A5A6M3	ENSPTRT00000088375
A5A6N6	ENSPTRT00000091043
A5A6P2	ENSPTRT00000037110
A5D791	ENSBTAT00000000210
A5D7B7	ENSBTAT00000010702
A5D7H5	ENSBTAT00000079130
A5D7I4	ENSBTAT00000008154
A5D8T8	ENST00000288040
A5D8V6	ENST00000301765
A5D8V7	ENST00000356392
A5D8W1	ENST00000389297
A5D979	ENSBTAT00000106382
A5D9M6	ENSSSCT00005055896
A5GFS8	ENSSSCT00070037731
A5GFW1	ENSSSCT00000036639
A5GFZ6	ENSSSCT00000008181
A5HJM1	ENSCJAT00000035995
A5LHG2	ENSSSCT00015098633
A5LHX3	ENST00000408907
A5PJM4	ENSBTAT00000001550
A5PJP6	ENSBTAT00000010280
A5PJW8	ENSBTAT00000025800
A5PJZ1	ENSBTAT00000004885
A5PK13	ENSBTAT00085082888
A5PK42	ENSBTAT00000018203
A5PK46	ENSBTAT00000135094
A5PK71	ENSBTAT00000014748
A5PK74	ENSBTAT00000094896
A5PKW4	ENST00000020673
A5PL98	ENSDART00000062264
A5PLL7	ENST00000371652
A5PN09	ENSDART00000006021
A5PN28	ENSDART00000132859
A5WVX9	ENSDART00000103371
A5X5Y0	ENST00000415389
A5YKK6	ENST00000317147
A5YM72	ENST00000307823
A6BM72	ENST00000409699
A6H5Y3	ENSMUST00000099856
A6H630	ENSMUST00000095893
A6H6A9	ENSMUST00000028049
A6H6E2	ENSMUST00000111908
A6H772	ENSBTAT00000017178
A6H7J1	ENSBTAT00085051211
A6H8H2	ENSMUST00000142837
A6H8H5	ENSMUST00000170146
A6H8Y1	ENST00000358731
A6H8Z2	ENST00000423537
A6HD62	ENSRNOT00000026921
A6JNN4	ENSRNOT00055020959
A6M931	ENSSSCT00000018679
A6N6J5	ENSRNOT00000051970
A6N7Y9	ENSGALT00010056677
A6NC98	ENST00000356786
A6NCS4	ENST00000325017
A6ND01	ENST00000328458
A6ND36	ENST00000388995
A6NDB9	ENST00000672551
A6NDE4	ENST00000383020
A6NDG6	ENST00000333503
A6NDV4	ENST00000377988
A6NED2	ENST00000394258
A6NEM1	ENST00000618348
A6NFA1	ENST00000606738
A6NFQ2	ENST00000441159
A6NFX1	ENST00000338315
A6NFY7	ENST00000378887
A6NGG8	ENST00000331664
A6NGQ2	ENST00000370359
A6NHL2	ENST00000380419
A6NHQ2	ENST00000338333
A6NHR9	ENST00000320876
A6NHX0	ENST00000616305
A6NI15	ENST00000281047
A6NI61	ENST00000339996
A6NI73	ENST00000432233
A6NIH7	ENST00000344651
A6NIM6	ENST00000344941
A6NIX2	ENST00000590071
A6NJ46	ENST00000518699
A6NJ78	ENST00000407364
A6NK06	ENST00000377462
A6NK58	ENST00000310109
A6NK89	ENST00000529419
A6NKB5	ENST00000258229
A6NKF2	ENST00000378909
A6NMZ7	ENST00000358511
A6NNB3	ENST00000382614
A6NNM8	ENST00000438251
A6NNN8	ENST00000299709
A6NNY8	ENST00000621775
A6NNZ2	ENST00000308911
A6PWV3	ENSMUST00000107108
A6QL63	ENST00000280758
A6QLE5	ENSBTAT00000001675
A6QLI1	ENSBTAT00000007935
A6QLT2	ENSBTAT00000071612
A6QLT4	ENSBTAT00000068194
A6QNL7	ENSBTAT00000003797
A6QP16	ENSBTAT00000154217
A6QQJ8	ENSBTAT00000015041
A6QQL0	ENSBTAT00000086426
A6QR44	ENSBTAT00000026474
A6QR55	ENSBTAT00000015787
A6X8Z5	ENSMUST00000023487
A6X935	ENSMUST00000120269
A6XKM2	ENSUAMT00000039323
A6YP92	ENSRNOT00000089828
A7E2V4	ENST00000605216
A7E320	ENSBTAT00000044908
A7E3S4	ENSBTAT00000054270
A7KAU2	ENSOCUT00000061436
A7KAX9	ENST00000310343
A7L9Z8	ENSMUST00000095171
A7M7C7	ENSMUST00000166956
A7MB70	ENSBTAT00000008076
A7MB74	ENSBTAT00000078810
A7MBE0	ENSBTAT00000004059
A7MCT6	ENSMUST00000135222
A7MCY6	ENST00000361722
A7MD48	ENST00000267260
A7TZE6	ENSMUST00000162158
A7WLH8	ENSSSCT00000047478
A7X8B7	ENSGGOT00000027848
A7XUJ6	ENSSSCT00000038108
A7XYQ1	ENST00000317357
A7YD35	ENSSAUT00010063923
A7YE96	ENSDART00000055422
A7YWC4	ENSBTAT00000012676
A7YWI9	ENSBTAT00000000472
A7Z056	ENSBTAT00000027070
A7Z063	ENSBTAT00000069933
A7Z064	ENSBTAT00000010315
A8CG34	ENST00000607367
A8DZE6	ENSDART00000157564
A8DZH4	ENSDART00000050597
A8E0Y8	ENSMUST00000147399
A8E5T6	ENSXETT00000000219
A8E5V7	ENSXETT00000060272
A8HAL1	ENSDART00000085645
A8K0Z3	ENST00000442898
A8K2U0	ENST00000299698
A8K4G0	ENST00000392621
A8K7I4	ENST00000234701
A8K830	ENST00000610738
A8K8P3	ENST00000400288
A8K8V0	ENST00000395216
A8MPY1	ENST00000472788
A8MQ03	ENST00000650725
A8MQ27	ENST00000369800
A8MT69	ENST00000392359
A8MTA8	ENST00000399742
A8MTJ3	ENST00000398291
A8MTJ6	ENST00000428390
A8MTQ0	ENST00000398468
A8MTZ0	ENST00000448814
A8MU46	ENST00000527972
A8MUP2	ENST00000532971
A8MV65	ENST00000398399
A8MVW5	ENST00000394468
A8MW92	ENST00000395386
A8MW95	ENST00000419583
A8MW99	ENST00000602452
A8MXD5	ENST00000399770
A8MXV4	ENST00000397061
A8MYU2	ENST00000399881
A8MZ59	ENST00000638280
A8T666	ENSMMUT00000091051
A8T695	ENSSBOT00000043975
A8TX70	ENST00000312481
A8VU90	ENSMUST00000119976
A8WGA0	ENSDART00000144335
A8WGB1	ENSDART00000127963
A8WGP3	ENSDART00000103741
A8WIP6	ENSDART00000140098
A9C3R8	ENSDART00000076600
A9C3R9	ENSDART00000076542
A9CB25	ENSPANT00000019446
A9CB27	ENSPANT00000001956
A9CB42	ENSPANT00000008987
A9CMA6	ENSRNOT00055021878
A9JRL3	ENSXETT00000061259
A9JTG5	ENSDART00000083719
A9Q751	ENSMUST00000037840
A9QM74	ENST00000327442
A9QT41	ENSSSCT00000048167
A9RA84	ENSPANT00000005593
A9UHW6	ENST00000325102
A9ULC7	ENSXETT00000047164
A9ULR9	ENSDART00000065807
A9X1D0	ENSPANT00000008416
B0BF33	ENSDART00000035899
B0BM36	ENSXETT00000105282
B0BN28	ENSRNOT00055016943
B0BND0	ENSRNOT00000111159
B0BNF9	ENSRNOT00000006330
B0BNK7	ENSRNOT00000028275
B0BNM1	ENSRNOT00000025986
B0I1T2	ENST00000258787
B0K011	ENSRNOT00000005666
B0K019	ENSRNOT00055027996
B0KW95	ENSCJAT00000040785
B0LPN4	ENSRNOT00000158171
B0LSW3	ENSFCAT00000041779
B0LT89	ENSRNOT00000118392
B0S5G3	ENSDART00000085675
B0S6J3	ENSDART00000045391
B0S6T2	ENSDART00000100622
B0V1P1	ENSDART00000019555
B0V2N1	ENSMUST00000067538
B0YJ81	ENST00000361271
B1A8Z2	ENSOART00000013190
B1AK53	ENST00000645284
B1AQ75	ENSMUST00000107416
B1AQJ2	ENSMUST00000092382
B1ARD8	ENSMUST00000038141
B1AS29	ENSMUST00000030676
B1AUE5	ENSMUST00000103180
B1AUH1	ENSMUST00000030741
B1AVY7	ENSMUST00000043589
B1AWL2	ENSMUST00000098070
B1AWN4	ENSMUST00000077659
B1AWN6	ENSMUST00000028377
B1AXD8	ENSMUST00000084299
B1AXV0	ENSMUST00000053681
B1AY10	ENSMUST00000098143
B1AY15	ENSMUST00000095755
B1AYL1	ENSMUST00000042792
B1AZ99	ENSMUST00000097830
B1AZI6	ENSMUST00000047037
B1AZP2	ENSMUST00000169464
B1B0V2	ENSMUST00000117544
B1H134	ENSXETT00000019062
B1H234	ENSRNOT00000006454
B1H278	ENSRNOT00000047268
B1H2N3	ENSXETT00000016304
B1H3E1	ENSXETT00000109106
B1PRL5	ENSRNOT00000010561
B1Q005	ENSRNOT00000042003
B1WBP0	ENSRNOT00000065168
B1WC61	ENSRNOT00000089353
B1WC68	ENSRNOT00000004224
B2DD29	ENSRNOT00000097053
B2GUT4	ENSXETT00000042046
B2GUV7	ENSRNOT00000114110
B2GUZ1	ENSRNOT00000083046
B2GV06	ENSRNOT00000107045
B2GV24	ENSRNOT00000089522
B2GV46	ENSRNOT00055055996
B2GV50	ENSRNOT00000073025
B2GV72	ENSRNOT00000002310
B2GV87	ENSRNOT00000098076
B2KF05	ENSMUST00000004985
B2KI64	ENSRFET00010035587
B2RPK0	ENST00000522557
B2RPY5	ENSMUST00000178700
B2RQC2	ENSMUST00000053287
B2RQC6	ENSMUST00000013773
B2RQL2	ENSMUST00000133371
B2RQR8	ENSMUST00000003898
B2RR83	ENSMUST00000037763
B2RRD7	ENSMUST00000113122
B2RRE7	ENSMUST00000173078
B2RS91	ENSMUST00000023363
B2RSH2	ENSMUST00000074694
B2RTY4	ENST00000356056
B2RU80	ENSMUST00000092167
B2RUJ5	ENSMUST00000025830
B2RUP2	ENSMUST00000106450
B2RUR8	ENSMUST00000035519
B2RUY7	ENST00000312504
B2RUZ4	ENST00000444870
B2RVI8	ENSMUST00000076576
B2RVY9	ENSMUST00000114765
B2RW38	ENSMUST00000066308
B2RWS6	ENSMUST00000068387
B2RX12	ENSMUST00000178136
B2RX14	ENSMUST00000043368
B2RXA7	ENSMUST00000073391
B2RXE2	ENSMUST00000073149
B2RXF5	ENST00000342537
B2RXH2	ENST00000450979
B2RXS4	ENSMUST00000060808
B2RXV4	ENSMUST00000085635
B2RXZ1	ENSMUST00000163394
B2RY04	ENSMUST00000039135
B2RY50	ENSMUST00000081275
B2RY71	ENSMUST00000160285
B2RYF7	ENSRNOT00055032822
B2RYG6	ENSRNOT00000028752
B2RYM5	ENSRNOT00000071068
B2RYN2	ENSRNOT00000068764
B2RYN7	ENSRNOT00000105595
B2RZ55	ENSRNOT00000054951
B3DIG4	ENSDART00000031761
B3DIV9	ENSDART00000057022
B3DJT0	ENSDART00000124545
B3DLA6	ENSXETT00000096069
B3G515	ENSDART00000076007
B3GSH5	ENSRNOT00000001791
B3KU38	ENST00000485419
B3Y614	ENSPPAT00000029196
B3Y615	ENSGGOT00000003080
B4F6I3	ENSXETT00000037399
B4F6I5	ENSXETT00000038311
B4F753	ENSXETT00000089642
B4F769	ENSRNOT00000022459
B4F779	ENSRNOT00000010986
B4F7B7	ENSRNOT00055041871
B4F7E7	ENSRNOT00000092157
B5D5N9	ENSRNOT00000015127
B5DE31	ENSDART00000110512
B5DEH0	ENSRNOT00000006554
B5DF45	ENSRNOT00000006148
B5DF51	ENSRNOT00000108706
B5DF89	ENSRNOT00000097044
B5DF91	ENSRNOT00000001415
B5DF94	ENSRNOT00055025023
B5DFG1	ENSRNOT00000083474
B5DFI8	ENSRNOT00000022977
B5FYQ0	ENSTGUT00000034756
B5FZY7	ENSTGUT00000002224
B5KM66	ENSMUST00000109314
B5SY89	ENSBIXT00000025998
B5TVM2	ENSMUST00000111416
B5X0E4	ENSMUST00000035515
B5X8M4	ENSSSAT00020198440
B6A8C7	ENST00000432826
B6A8R8	ENSMUST00000203821
B6CJY4	ENSCATT00000037104
B6CJY5	ENSMMUT00000025667
B6CVD7	ENSSSCT00015055699
B6ULW4	ENSPANT00000068787
B6ULW6	ENSPANT00000006616
B6ZK76	ENSDART00000089206
B7U540	ENST00000567955
B7ZAQ6	ENST00000313835
B7ZC96	ENSDART00000143200
B8A4F0	ENSDART00000134630
B8A4W9	ENSDART00000129314
B8A5S6	ENSDART00000145944
B8JK39	ENSMUST00000044165
B8JLQ9	ENSDART00000109756
B8K1W2	ENSCAFT00030042019
B8Q0B2	ENSSSCT00065059824
B8XY56	ENSDART00000128675
B8ZXI1	ENSMUST00000239112
B9EHT4	ENSMUST00000014065
B9EJ57	ENSMUST00000177258
B9EJ80	ENSMUST00000099274
B9EJ86	ENSMUST00000105275
B9EJA2	ENSMUST00000090601
B9EJV3	ENSMUST00000048977
B9EKI3	ENSMUST00000095664
B9EKR1	ENSMUST00000090568
C0H9B6	ENSSSAT00070047250
C0HKE1	ENSMUST00000070124
C0HKE2	ENSMUST00000070124
C0HKE3	ENSMUST00000070124
C0HKE4	ENSMUST00000070124
C0HKE5	ENSMUST00000070124
C0HKE6	ENSMUST00000070124
C0HKE7	ENSMUST00000070124
C0HKE8	ENSMUST00000070124
C0HKE9	ENSMUST00000070124
C0LLJ0	ENSMUST00000110672
C3VD30	ENSMUST00000118769
C3VPR6	ENSMUST00000053085
C4P6S0	ENSMUST00000165493
C5HGF3	ENSSSCT00000061642
C6K2K4	ENSRNOT00000021739
C6KI89	ENSMUST00000061193
C8YUV0	ENSMFAT00000004151
C9JE40	ENST00000434130
C9JLW8	ENST00000455127
C9JR72	ENST00000432196
C9JRZ8	ENST00000652743
D0G895	ENSMUST00000190995
D0Q0Y7	ENSRNOT00000094141
D0QMC3	ENSMUST00000188804
D0RB01	ENSRNOT00000044038
D0VWV4	ENSSSCT00000045783
D1LYT2	ENSMMUT00000025349
D2CLZ9	ENSDART00000054689
D2EAC2	ENSMUST00000179598
D2H526	ENSAMET00000004348
D2H6Z0	ENSAMET00000020895
D2HBJ8	ENSAMET00000002387
D2HC77	ENSAMET00000025841
D2HFT7	ENSAMET00000000932
