AC	ENSEMBL
A0A1S3PBB7	ENSSSAT00075089566
A0A1S6M251	ENSSSCT00000008169
A0A1S6M251	ENSSSCT00025106169
A0A1S6M251	ENSSSCT00035034067
A0A1S6M251	ENSSSCT00045006200
A0A1S6M251	ENSSSCT00055050054
A0A1S6M251	ENSSSCT00070034393
A0A1W2P872	ENSMUST00000220302
A0A286Y9D1	ENSDART00000177759
A0A287B8J2	ENSSSCT00000042888
A0A287B8J2	ENSSSCT00005032866
A0A287B8J2	ENSSSCT00035111401
A0A287B8J2	ENSSSCT00040077289
A0A287B8J2	ENSSSCT00045066163
A0A287B8J2	ENSSSCT00055043366
A0A287B8J2	ENSSSCT00065066525
A0A2K5EJU6	ENSANAT00000051542
A0A2K5EJU6	ENSANAT00000051548
A0A2K5QCI5	ENSCCAT00000031045
A0A2K5TU92	ENSMFAT00000022292
A0A2K6TRM6	ENSSBOT00000039158
A0A2R8Q1W5	ENSDART00000186561
A0A2R8QCI3	ENSDART00000187996
A0A2R8QF68	ENSDART00000180026
A0A2R8QF68	ENSDART00000183974
A0A2R8Y7D0	ENST00000646160
A0A2R9YJI3	ENSDART00000128807
A0A3L7I2I8	ENSCGRT00001020695
A0A452E9Y6	ENSCHIT00000016739
A0A494BA31	ENSMUST00000236124
A0A4X1UM84	ENSSSCT00000008222
A0A4X1UM84	ENSSSCT00025102441
A0A4Z3	ENSRNOT00000126249
A0A4Z3	ENSRNOT00055049651
A0A4Z3	ENSRNOT00060028244
A0A4Z3	ENSRNOT00065054014
A0A5F8MPU3	ENSMUST00000238949
A0A6I8PUB9	ENSXETT00000065942
A0A6P3HVI0	ENSBBBT00000026436
A0A6P6DKR7	ENSODET00000011944
A0A6P7EFR0	ENSOART00000014913
A0A6P7EFR0	ENSOART00185087938
A0A8C0N8E3	ENSCAFT00000071494
A0A8C0N8E3	ENSCAFT00030023909
A0A8C0N8E3	ENSCAFT00805023083
A0A8C0N8E3	ENSCAFT00845024814
A0A8C0NGY6	ENSCAFT00000043495
A0A8C0NGY6	ENSCAFT00030027924
A0A8C0NGY6	ENSCAFT00040040205
A0A8C0NGY6	ENSCAFT00805006789
A0A8C0NGY6	ENSCAFT00845002005
A0A8C0TYJ0	ENSCAFT00000021175
A0A8C0TYJ0	ENSCAFT00030042732
A0A8C0TYJ0	ENSCAFT00040048337
A0A8C0TYJ0	ENSCAFT00805055027
A0A8C0TYJ0	ENSCAFT00845054291
A0A8C2LVE3	ENSCGRT00001012904
A0A8C2MDK8	ENSCGRT00000012406
A0A8C2MDK8	ENSCGRT00001022016
A0A8C2MDK8	ENSCGRT00015032747
A0A8I3NFE2	ENSCAFT00000009283
A0A8I3NFE2	ENSCAFT00030018910
A0A8I3NFE2	ENSCAFT00040036989
A0A8I3NFE2	ENSCAFT00805018115
A0A8I3NFE2	ENSCAFT00845018029
A0A8I3NQW8	ENSCAFT00000027319
A0A8I3NQW8	ENSCAFT00030037273
A0A8I3NQW8	ENSCAFT00040045596
A0A8I3NQW8	ENSCAFT00805051589
A0A8I3NQW8	ENSCAFT00845030001
A0A8I3P7X4	ENSCAFT00000020422
A0A8I3P7X4	ENSCAFT00030024830
A0A8I3P7X4	ENSCAFT00040031155
A0A8I3P7X4	ENSCAFT00805013445
A0A8I3P7X4	ENSCAFT00845035658
A0A8I3PDQ1	ENSCAFT00845036501
A0A8I3PI99	ENSCAFT00000021367
A0A8I3PI99	ENSCAFT00805044664
A0A8I3PI99	ENSCAFT00845043248
A0A8I3PQN6	ENSCAFT00000013268
A0A8I3PQN6	ENSCAFT00805045533
A0A8I3PQN6	ENSCAFT00845042653
A0A8I3QA39	ENSCAFT00000010812
A0A8I3QA39	ENSCAFT00805036665
A0A8I3QA39	ENSCAFT00845053762
A0A8I3S724	ENSCAFT00030046613
A0A8I3S724	ENSCAFT00845051705
A0A8I3S9V6	ENSCAFT00000079481
A0A8I3S9V6	ENSCAFT00030045927
A0A8I3S9V6	ENSCAFT00040022151
A0A8I3S9V6	ENSCAFT00805035919
A0A8I3S9V6	ENSCAFT00845045974
A0A8I5KQE6	ENST00000484897
A0A8I5ZNK2	ENSRNOT00000099478
A0A8I5ZNK2	ENSRNOT00055011111
A0A8I5ZNK2	ENSRNOT00060032224
A0A8I5ZNK2	ENSRNOT00065006891
A0A8I6G705	ENSRNOT00000144605
A0A8I6G705	ENSRNOT00055020937
A0A8I6G705	ENSRNOT00060020322
A0A8I6G705	ENSRNOT00065003920
A0A8I6GM68	ENSRNOT00000116471
A0A8M1NHK4	ENSDART00000135552
A0A8M2BID5	ENSDART00000148460
A0A8M9PFP2	ENSDART00000155935
A0A8M9PQ61	ENSDART00000111078
A0A8P0N4K0	ENSCAFT00000002152
A0A8P0N4K0	ENSCAFT00805020653
A0A8P0N4K0	ENSCAFT00845029674
A0A8V0ZB02	ENSGALT00010047411
A0A8V1ABE9	ENSGALT00010062686
A0AAA9T569	ENSBTAT00000117491
A0AAA9T569	ENSBTAT00085077158
A0AAQ4VMX2	ENSMUST00000160679
A0AAS4	ENSSSCT00000037988
A0AAS4	ENSSSCT00015012756
A0AAS4	ENSSSCT00025080669
A0AAS4	ENSSSCT00030002453
A0AAS4	ENSSSCT00035069434
A0AAS4	ENSSSCT00040047253
A0AAS4	ENSSSCT00045051602
A0AAS4	ENSSSCT00050027971
A0AAS4	ENSSSCT00055000475
A0AAS4	ENSSSCT00060084328
A0AAS4	ENSSSCT00065045666
A0AAS4	ENSSSCT00070043787
A0AAS4	ENSSSCT00085049039
A0AV02	ENST00000393469
A0AV02	ENST00000469902
A0AV96	ENST00000295971
A0AV96	ENST00000381793
A0AVF1	ENST00000464848
A0AVI4	ENST00000382936
A0AVK6	ENST00000250024
A0AVK6	ENST00000527884
A0AVK6	ENST00000620009
A0AVT1	ENST00000322244
A0FGR9	ENST00000389567
A0FIN4	ENSSSCT00000015600
A0FIN4	ENSSSCT00005071461
A0FIN4	ENSSSCT00040039469
A0FIN4	ENSSSCT00050107511
A0FIN4	ENSSSCT00055006796
A0FIN4	ENSSSCT00055006804
A0FIN4	ENSSSCT00055006835
A0FIN4	ENSSSCT00065022036
A0FIN4	ENSSSCT00065022056
A0FIN4	ENSSSCT00065022071
A0FIN4	ENSSSCT00070039571
A0FIN4	ENSSSCT00070039582
A0FIN4	ENSSSCT00070039596
A0FIN4	ENSSSCT00085048954
A0JMQ9	ENSDART00000092113
A0JN54	ENSBTAT00000038186
A0JN54	ENSBTAT00085062294
A0JN54	ENSBTAT00090014646
A0JN74	ENSBTAT00090046963
A0JNB0	ENSBTAT00000015730
A0JNB0	ENSBTAT00085028390
A0JNB0	ENSBTAT00090009878
A0JNC1	ENSBTAT00000007970
A0JNC1	ENSBTAT00085017274
A0JNC1	ENSBTAT00090044274
A0JNC4	ENSBTAT00000069161
A0JNC4	ENSBTAT00085073395
A0JNC4	ENSBTAT00090045931
A0JNH9	ENSBTAT00000044615
A0JNH9	ENSBTAT00085025937
A0JNH9	ENSBTAT00090062898
A0JNK3	ENSBTAT00000128719
A0JNK3	ENSBTAT00085037191
A0JNK3	ENSBTAT00090048810
A0JNM1	ENSBTAT00000004864
A0JNM1	ENSBTAT00085063965
A0JNM1	ENSBTAT00090051842
A0JNT9	ENSMUST00000055408
A0JNU3	ENSMUST00000079400
A0JNW5	ENST00000279907
A0JP26	ENST00000611217
A0JPN2	ENSRNOT00000040422
A0JPN2	ENSRNOT00055044997
A0JPN2	ENSRNOT00060046392
A0JPN2	ENSRNOT00065049604
A0JPN4	ENSRNOT00000012314
A0JPN4	ENSRNOT00055021722
A0JPN4	ENSRNOT00060023620
A0JPN4	ENSRNOT00065029865
A0JPQ4	ENSRNOT00000029994
A0JPQ4	ENSRNOT00055052068
A0JPQ4	ENSRNOT00060043384
A0JPQ4	ENSRNOT00065025632
A0M8R6	ENSPANT00000023926
A0M8S1	ENSPANT00000067785
A0M8S7	ENSFCAT00000046169
A0M8S8	ENSFCAT00000085048
A0M8S8	ENSFCTT00005006656
A0M8T2	ENSFCAT00000045560
A0M8T2	ENSFCTT00005007572
A0MQH0	ENSCGRT00000017131
A0MQH0	ENSCGRT00001009453
A0MQH0	ENSCGRT00015025249
A0MZ66	ENST00000355371
A0PJK1	ENST00000395645
A0PJY2	ENST00000442488
A0PK00	ENST00000342607
A0PK00	ENST00000449592
A0PK05	ENST00000389583
A0PK11	ENST00000511148
A0SYQ0	ENSCAFT00000044497
A0SYQ0	ENSCAFT00030013175
A0SYQ0	ENSCAFT00040011106
A0SYQ0	ENSCAFT00805053386
A0SYQ0	ENSCAFT00845041265
A0T2N3	ENSDART00000129643
A1A4J1	ENSBTAT00000056305
A1A4J1	ENSBTAT00085039576
A1A4J1	ENSBTAT00090013411
A1A4K5	ENSBTAT00000076817
A1A4K5	ENSBTAT00085025851
A1A4K5	ENSBTAT00090001030
A1A4L1	ENSBTAT00085039436
A1A4L1	ENSBTAT00090082154
A1A4S6	ENST00000336498
A1A4Y4	ENST00000522154
A1A519	ENST00000695508
A1A546	ENSMUST00000034034
A1A547	ENSMUST00000047660
A1A5B4	ENST00000332826
A1A5C7	ENST00000406686
A1A5H8	ENSDART00000027090
A1A5H8	ENSDART00000178066
A1A5Q5	ENSRNOT00000033932
A1A5Q5	ENSRNOT00000071532
A1A5Q5	ENSRNOT00000124622
A1A5Q5	ENSRNOT00000127250
A1A5Q5	ENSRNOT00055011992
A1A5Q5	ENSRNOT00055011996
A1A5Q5	ENSRNOT00060009645
A1A5Q5	ENSRNOT00060009652
A1A5Q5	ENSRNOT00060009658
A1A5Q5	ENSRNOT00065019007
A1A5Q5	ENSRNOT00065019009
A1A5R1	ENSRNOT00055045959
A1A5R1	ENSRNOT00060049530
A1A5R1	ENSRNOT00065053986
A1BPI0	ENSRNOT00000028303
A1C2U6	ENSMMUT00000020075
A1E959	ENST00000396094
A1E959	ENST00000683306
A1E960	ENSMUST00000113274
A1E960	ENSMUST00000129757
A1KXE4	ENST00000389915
A1KXE4	ENST00000409185
A1KZ92	ENST00000356297
A1L0T0	ENST00000263383
A1L167	ENST00000399816
A1L167	ENST00000708565
A1L190	ENST00000402753
A1L190	ENST00000406915
A1L1K8	ENSRNOT00000025801
A1L1K8	ENSRNOT00055042108
A1L1K8	ENSRNOT00060027668
A1L1K8	ENSRNOT00065039665
A1L1L6	ENSRNOT00000137581
A1L1V4	ENSDART00000064701
A1L1V4	ENSDART00000144013
A1L1V4	ENSDART00000184129
A1L1V4	ENSDART00000185815
A1L259	ENSDART00000105917
A1L259	ENSDART00000184990
A1L293	ENSDART00000074458
A1L390	ENST00000247226
A1L3C1	ENSMUST00000107927
A1L3P4	ENSMUST00000077741
A1L3X0	ENST00000425382
A1L3X0	ENST00000508821
A1L4H1	ENST00000389623
A1L4K1	ENST00000334574
A1X149	ENSETET00000011935
A1X283	ENST00000311601
A1XBS5	ENST00000518322
A1XSY8	ENSSSCT00015000019
A1XSY8	ENSSSCT00025106300
A1XSY8	ENSSSCT00030001986
A1XSY8	ENSSSCT00035100914
A1XSY8	ENSSSCT00040085127
A1XSY8	ENSSSCT00045054904
A1XSY8	ENSSSCT00050095194
A1XSY8	ENSSSCT00055029550
A1XSY8	ENSSSCT00060044958
A1XSY8	ENSSSCT00065095440
A1XSY8	ENSSSCT00070022960
A1Y2K1	ENSSSCT00000004885
A1Y2K1	ENSSSCT00005055119
A1Y2K1	ENSSSCT00005055146
A1Y2K1	ENSSSCT00005055153
A1Y2K1	ENSSSCT00005055312
A1Y2K1	ENSSSCT00015005647
A1Y2K1	ENSSSCT00025105476
A1Y2K1	ENSSSCT00030023971
A1Y2K1	ENSSSCT00035017115
A1Y2K1	ENSSSCT00040047800
A1Y2K1	ENSSSCT00045015524
A1Y2K1	ENSSSCT00050052843
A1Y2K1	ENSSSCT00055043457
A1Y2K1	ENSSSCT00060045861
A1Y2K1	ENSSSCT00065058364
A1Y2K1	ENSSSCT00070045040
A1Y2K1	ENSSSCT00070045057
A1Y2K1	ENSSSCT00070045062
A1Y9I9	ENSMUST00000106969
A1Y9I9	ENSMUST00000106970
A1YB07	ENSDART00000088914
A1YB07	ENSDART00000160354
A1YER0	ENSGGOT00000001397
A1YF08	ENSGGOT00000002582
A1YFZ3	ENSPPAT00000054561
A1YG32	ENSPPAT00000038007
A1Z198	ENSMUST00000108514
A1Z198	ENSMUST00000108515
A1Z1Q3	ENST00000217246
A2A259	ENSMUST00000042026
A2A288	ENST00000409806
A2A2Y4	ENST00000304195
A2A432	ENSMUST00000050083
A2A432	ENSMUST00000115118
A2A5K6	ENSMUST00000041361
A2A5N3	ENSMUST00000067715
A2A5N8	ENSMUST00000035751
A2A5R2	ENSMUST00000099078
A2A5Z6	ENSMUST00000092517
A2A6C4	ENSMUST00000107000
A2A6M5	ENSMUST00000068686
A2A6Q5	ENSMUST00000093923
A2A7Q9	ENSMUST00000030584
A2A825	ENSMUST00000097813
A2A863	ENSMUST00000106458
A2A863	ENSMUST00000106461
A2A884	ENSMUST00000106307
A2A884	ENSMUST00000166542
A2A891	ENSMUST00000049790
A2A8L1	ENSMUST00000005175
A2A8L5	ENSMUST00000049074
A2A8U2	ENSMUST00000105687
A2A935	ENSMUST00000030902
A2A974	ENSMUST00000094887
A2A9A2	ENSMUST00000061187
A2A9C3	ENSMUST00000075406
A2A9F4	ENSMUST00000042919
A2A9F4	ENSMUST00000105901
A2AA28	ENSMUST00000106370
A2AAE1	ENSMUST00000057272
A2AAE1	ENSMUST00000152564
A2AAJ9	ENSMUST00000238536
A2AAY5	ENSMUST00000038753
A2ABV5	ENSMUST00000096495
A2AC93	ENSMUST00000069325
A2AC93	ENSMUST00000092469
A2AD83	ENSMUST00000060650
A2AF47	ENSMUST00000033419
A2AG06	ENSMUST00000100378
A2AG50	ENSMUST00000112471
A2AGH6	ENSMUST00000087948
A2AGL3	ENSMUST00000080673
A2AGX3	ENSMUST00000111274
A2AGX3	ENSMUST00000178666
A2AH22	ENSMUST00000045705
A2AHC3	ENSMUST00000183461
A2AHL1	ENSMUST00000099623
A2AI05	ENSMUST00000114349
A2AI08	ENSMUST00000114336
A2AIP0	ENSMUST00000107929
A2AIR5	ENSMUST00000093859
A2AIV2	ENSMUST00000059914
A2AIV8	ENSMUST00000028294
A2AIV8	ENSMUST00000100303
A2AIW0	ENSMUST00000114102
A2AJ15	ENSMUST00000042390
A2AJ76	ENSMUST00000113532
A2AJ77	ENSMUST00000113470
A2AJ88	ENSMUST00000045295
A2AJB7	ENSMUST00000028306
A2AJI0	ENSMUST00000061143
A2AJK6	ENSMUST00000039267
A2AJK6	ENSMUST00000051558
A2AJN7	ENSMUST00000099362
A2AJX4	ENSMUST00000146205
A2AKK5	ENSMUST00000095086
A2AKX3	ENSMUST00000061578
A2AL36	ENSMUST00000028237
A2AL36	ENSMUST00000156933
A2ALU4	ENSMUST00000062317
A2ALV5	ENSMUST00000107547
A2AM05	ENSMUST00000047023
A2AM29	ENSMUST00000078090
A2AMM0	ENSMUST00000030033
A2AMT1	ENSMUST00000099296
A2AN08	ENSMUST00000097822
A2ANU3	ENSMUST00000109934
A2ANU3	ENSMUST00000109935
A2AP18	ENSMUST00000105631
A2APB8	ENSMUST00000028969
A2APB8	ENSMUST00000109816
A2APB8	ENSMUST00000164120
A2APB8	ENSMUST00000178997
A2APC3	ENSMUST00000099197
A2APF3	ENSMUST00000094287
A2APX8	ENSMUST00000112366
A2AQ07	ENSMUST00000016399
A2AQ19	ENSMUST00000028767
A2AQ25	ENSMUST00000066509
A2AQ92	ENSMUST00000099461
A2AR95	ENSMUST00000058790
A2ARA8	ENSMUST00000028106
A2ARI4	ENSMUST00000046548
A2ARP1	ENSMUST00000052029
A2ARP1	ENSMUST00000110626
A2ARV4	ENSMUST00000080953
A2AS55	ENSMUST00000056108
A2AS89	ENSMUST00000038161
A2ASI5	ENSMUST00000100069
A2ASQ1	ENSMUST00000105575
A2ASZ8	ENSMUST00000113307
A2AT37	ENSMUST00000060092
A2AU37	ENSMUST00000180195
A2AU72	ENSMUST00000114640
A2AUC9	ENSMUST00000100050
A2AUM9	ENSMUST00000089776
A2AUU0	ENSMUST00000121586
A2AVA0	ENSMUST00000042850
A2AVZ9	ENSMUST00000090726
A2AWL7	ENSMUST00000046717
A2AWP0	ENSMUST00000108875
A2AWR3	ENSMUST00000076463
A2AWR3	ENSMUST00000112043
A2AX52	ENSMUST00000121963
A2BD05	ENSSSCT00000058361
A2BD05	ENSSSCT00005057657
A2BD05	ENSSSCT00005057683
A2BD05	ENSSSCT00015052084
A2BD05	ENSSSCT00025045186
A2BD05	ENSSSCT00030063821
A2BD05	ENSSSCT00035103043
A2BD05	ENSSSCT00040004407
A2BD05	ENSSSCT00045056815
A2BD05	ENSSSCT00050059114
A2BD05	ENSSSCT00055056215
A2BD05	ENSSSCT00060106188
A2BD05	ENSSSCT00065030351
A2BD05	ENSSSCT00070033640
A2BD05	ENSSSCT00070033654
A2BD05	ENSSSCT00070033660
A2BDX3	ENSMUST00000099071
A2BE28	ENSMUST00000113864
A2BGM5	ENSDART00000008994
A2BH40	ENSMUST00000105897
A2BIE7	ENSDART00000086867
A2CEH0	ENSDART00000004771
A2CEI6	ENSDART00000090695
A2CEI6	ENSDART00000162071
A2CEQ0	ENSDART00000043010
A2CG49	ENSMUST00000076810
A2CG63	ENSMUST00000110534
A2D670	ENSMMUT00000000124
A2IDD5	ENST00000293889
A2PYH4	ENST00000370425
A2PYL6	ENSECAT00000129718
A2RRP1	ENST00000281513
A2RRU4	ENSRNOT00000028295
A2RST1	ENSMUST00000099106
A2RSY1	ENSMUST00000186470
A2RT67	ENSMUST00000043414
A2RTF1	ENSMUST00000055156
A2RTX5	ENST00000335968
A2RU14	ENST00000279968
A2RU14	ENST00000526175
A2RU14	ENST00000527271
A2RU14	ENST00000527766
A2RU14	ENST00000529583
A2RU14	ENST00000531909
A2RU14	ENST00000532407
A2RU14	ENST00000682305
A2RU30	ENST00000316577
A2RU30	ENST00000449076
A2RU49	ENST00000388988
A2RU49	ENST00000569878
A2RUB1	ENST00000409122
A2RUB6	ENST00000394672
A2RUC4	ENST00000354611
A2RUH7	ENST00000357155
A2RUV9	ENSRNOT00055051257
A2RUV9	ENSRNOT00060055154
A2RUV9	ENSRNOT00065034335
A2RUW1	ENSRNOT00000046344
A2RUW1	ENSRNOT00055052228
A2RUW1	ENSRNOT00060057515
A2RUW1	ENSRNOT00065047375
A2SW69	ENSOART00000022687
A2SW69	ENSOART00185029050
A2SW69	ENSOART00260002073
A2SW69	ENSOART00260039556
A2SWM2	ENSDART00000153909
A2T6K4	ENSMNET00000016068
A2T6Y4	ENSPTRT00000011181
A2T756	ENSPTRT00000010560
A2VCW5	ENSRNOT00055038402
A2VCW5	ENSRNOT00060038574
A2VCW5	ENSRNOT00065019140
A2VD12	ENSRNOT00000028057
A2VDJ0	ENST00000409663
A2VDK6	ENSBTAT00000024447
A2VDK6	ENSBTAT00085060792
A2VDK6	ENSBTAT00090030961
A2VDL4	ENSBTAT00090060909
A2VDL6	ENSBTAT00000049161
A2VDL6	ENSBTAT00085071384
A2VDL6	ENSBTAT00090014772
A2VDN5	ENSBTAT00000046919
A2VDN5	ENSBTAT00085050983
A2VDN5	ENSBTAT00090040715
A2VDP1	ENSBTAT00000012521
A2VDP1	ENSBTAT00085012334
A2VDP1	ENSBTAT00090036112
A2VDT1	ENSBTAT00000064455
A2VDT1	ENSBTAT00085003507
A2VDT1	ENSBTAT00090021879
A2VDU2	ENSBTAT00000013577
A2VDU2	ENSBTAT00085044367
A2VDU2	ENSBTAT00090072941
A2VDV2	ENSBTAT00000015663
A2VDV2	ENSBTAT00085029197
A2VDV2	ENSBTAT00090061434
A2VDZ3	ENSBTAT00000014074
A2VDZ3	ENSBTAT00085081233
A2VDZ3	ENSBTAT00090040238
A2VDZ4	ENSBTAT00000055868
A2VE31	ENSBTAT00000014749
A2VE31	ENSBTAT00085075250
A2VE31	ENSBTAT00090015406
A2VE79	ENSBTAT00000026239
A2VE79	ENSBTAT00085026496
A2VE79	ENSBTAT00090056411
A3FBE9	ENSMPUT00000013705
A3FIN4	ENSMUST00000107942
A3KCL7	ENSSSCT00000004864
A3KCL7	ENSSSCT00005060265
A3KCL7	ENSSSCT00015036084
A3KCL7	ENSSSCT00025066356
A3KCL7	ENSSSCT00030000198
A3KCL7	ENSSSCT00035026235
A3KCL7	ENSSSCT00045032145
A3KCL7	ENSSSCT00050072506
A3KCL7	ENSSSCT00055046836
A3KCL7	ENSSSCT00065047120
A3KFM7	ENSMUST00000039782
A3KFX0	ENSMUST00000068262
A3KG59	ENSMUST00000098181
A3KGF7	ENSMUST00000102524
A3KGS3	ENSMUST00000131824
A3KGV1	ENSMUST00000113765
A3KMH1	ENST00000379310
A3KN83	ENST00000420886
A3KN83	ENST00000602398
A3KNL5	ENSDART00000087242
A3KPA3	ENSDART00000086994
A3KPP3	ENSDART00000166050
A3KPP3	ENSDART00000170218
A3KPQ7	ENSDART00000133217
A3KPW9	ENSDART00000088760
A3KPW9	ENSDART00000135128
A3KQ86	ENSDART00000091094
A3KQ86	ENSDART00000144605
A3KQ86	ENSDART00000181193
A3KQH2	ENSDART00000175259
A3QJU3	ENSDART00000172195
A3RGC1	ENSSSCT00000032274
A3RGC1	ENSSSCT00015054074
A3RGC1	ENSSSCT00025006974
A3RGC1	ENSSSCT00030012596
A3RGC1	ENSSSCT00035071430
A3RGC1	ENSSSCT00040018729
A3RGC1	ENSSSCT00045000388
A3RGC1	ENSSSCT00055012508
A3RGC1	ENSSSCT00055012543
A3RGC1	ENSSSCT00060049451
A3RGC1	ENSSSCT00065086338
A3RGC1	ENSSSCT00085057480
A4D0S4	ENST00000205386
A4D0S4	ENST00000388781
A4D126	ENST00000407010
A4D161	ENST00000344962
A4D1B5	ENST00000257626
A4D1E9	ENST00000222511
A4D1P6	ENST00000354475
A4D1S5	ENST00000356407
A4D1S5	ENST00000537763
A4D1T9	ENST00000350549
A4D1T9	ENST00000438520
A4D256	ENST00000650262
A4D2B0	ENST00000398075
A4D7S0	ENSBTAT00000010650
A4D7S0	ENSBTAT00085004713
A4D7S0	ENSBTAT00090025497
A4FUF0	ENSBTAT00000002268
A4FV08	ENSBTAT00000126000
A4FV08	ENSBTAT00085047577
A4FV08	ENSBTAT00090051590
A4FV52	ENSBTAT00000009255
A4FV52	ENSBTAT00085073222
A4FV52	ENSBTAT00090085775
A4FV54	ENSBTAT00000021408
A4FV54	ENSBTAT00085047951
A4FV54	ENSBTAT00090050190
A4GG66	ENSRNOT00000093570
A4GG66	ENSRNOT00000096574
A4GG66	ENSRNOT00000108179
A4GG66	ENSRNOT00000116881
A4GG66	ENSRNOT00000117898
A4GG66	ENSRNOT00000151731
A4GG66	ENSRNOT00000160044
A4GG66	ENSRNOT00000162959
A4GG66	ENSRNOT00000165769
A4GG66	ENSRNOT00000170911
A4GG66	ENSRNOT00055049937
A4GG66	ENSRNOT00055049943
A4GG66	ENSRNOT00055049948
A4GG66	ENSRNOT00055049952
A4GG66	ENSRNOT00055049962
A4GG66	ENSRNOT00060020873
A4GG66	ENSRNOT00060020877
A4GG66	ENSRNOT00060020882
A4GG66	ENSRNOT00060020887
A4GG66	ENSRNOT00060020891
A4GG66	ENSRNOT00065051699
A4GG66	ENSRNOT00065051701
A4GG66	ENSRNOT00065051707
A4GG66	ENSRNOT00065051719
A4GG66	ENSRNOT00065051723
A4GTP4	ENSRNOT00000013522
A4GTP4	ENSRNOT00055027739
A4GTP4	ENSRNOT00060033863
A4GTP4	ENSRNOT00065034184
A4GXA9	ENST00000568449
A4IFJ5	ENSBTAT00000017685
A4IFJ5	ENSBTAT00085082644
A4IFJ5	ENSBTAT00090046855
A4IG62	ENSDART00000189730
A4IGM9	ENSXETT00000019956
A4IHP4	ENSXETT00000017945
A4IIM3	ENSXETT00000062393
A4IIN5	ENSXETT00000020367
A4K2Q5	ENSOGAT00000006659
A4KWA1	ENSRNOT00000111200
A4KWA1	ENSRNOT00055002106
A4KWA1	ENSRNOT00055018957
A4KWA1	ENSRNOT00060035309
